Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
16,11/19/18,16,23-363,TOR_LW,,CBJ,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,15:12,2,0,0,0,
17,11/21/18,17,24-000,TOR_LW,@,CAR,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,19,13:09,0,1,0,0,
18,11/23/18,18,24-002,TOR_LW,@,CBJ,L,0,0,0,1,0,0,0,0,0,0,0,0,1,0,19,11:48,0,1,0,0,
19,11/24/18,19,24-003,TOR_LW,,PHI,W,3,0,3,3,0,3,0,0,1,0,0,0,4,75,18,10:48,0,1,0,0,
20,11/26/18,20,24-005,TOR_LW,,BOS,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,17,12:06,0,2,1,0,100
21,11/28/18,21,24-007,TOR_LW,,SJS,W,0,2,2,1,2,0,0,0,0,1,1,0,1,0,19,13:06,0,1,0,0,
22,12/1/18,22,24-010,TOR_LW,@,MIN,W,0,1,1,0,0,0,0,0,0,1,0,0,0,,17,11:34,0,1,0,2,0
23,12/4/18,23,24-013,TOR_LW,@,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,19,12:38,0,0,0,0,
24,12/6/18,24,24-015,TOR_LW,,DET,L-OT,1,1,2,1,0,1,0,0,0,1,0,0,1,100,20,14:05,0,0,2,0,100
25,12/8/18,25,24-017,TOR_LW,@,BOS,L,1,1,2,2,0,0,1,0,0,1,0,0,3,33.3,21,13:06,0,0,0,0,
26,12/11/18,26,24-020,TOR_LW,@,CAR,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0,24,15:10,1,0,0,1,0
27,12/13/18,27,24-022,TOR_LW,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,15:43,0,0,0,0,
28,12/15/18,28,24-024,TOR_LW,@,FLA,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,0,,21,14:31,1,0,0,0,
29,12/18/18,29,24-027,TOR_LW,@,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,13:45,0,1,0,0,
30,12/20/18,30,24-029,TOR_LW,,FLA,W,0,0,0,1,2,0,0,0,0,0,0,0,0,,19,14:34,0,1,0,0,
31,12/22/18,31,24-031,TOR_LW,,NYR,W,1,2,3,3,0,1,0,0,0,2,0,0,3,33.3,20,15:09,1,1,0,0,
32,12/23/18,32,24-032,TOR_LW,,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,19,15:33,0,1,0,0,
33,12/28/18,33,24-037,TOR_LW,@,CBJ,W,0,0,0,1,0,0,0,0,0,0,0,0,2,0,21,15:36,0,0,0,1,0
34,12/29/18,34,24-038,TOR_LW,,NYI,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,19,16:07,1,0,0,0,
35,1/3/19,35,24-043,TOR_LW,,MIN,L,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,23,14:00,2,3,0,0,
36,1/5/19,36,24-045,TOR_LW,,VAN,W,1,1,2,3,2,1,0,0,0,1,0,0,3,33.3,22,15:40,3,0,0,0,
37,1/7/19,37,24-047,TOR_LW,,NSH,L,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,22,17:11,2,1,0,0,
