Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
16,11/10/18,16,22-169,BOS_RW,,TOR,W,3,1,4,2,0,1,2,0,1,1,0,0,7,42.9,21,17:38,0,1,0,0,
17,11/11/18,17,22-170,BOS_RW,,VEG,W,1,1,2,1,2,0,1,0,0,1,0,0,3,33.3,21,17:21,1,0,0,0,
18,11/14/18,18,22-173,BOS_RW,@,COL,L,1,1,2,-1,2,0,1,0,0,0,1,0,4,25,21,19:30,0,0,0,0,
19,11/16/18,19,22-175,BOS_RW,@,DAL,L-OT,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,23,18:49,0,0,0,0,
20,11/17/18,20,22-176,BOS_RW,@,ARI,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0,18,18:40,0,2,0,0,
21,11/21/18,21,22-180,BOS_RW,@,DET,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,6,0,21,18:40,1,0,0,0,
22,11/23/18,22,22-182,BOS_RW,,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,0,,25,19:00,0,0,0,0,
23,11/24/18,23,22-183,BOS_RW,@,MTL,W,0,0,0,-1,2,0,0,0,0,0,0,0,4,0,15,18:26,1,1,0,0,
24,11/26/18,24,22-185,BOS_RW,@,TOR,L,2,0,2,-1,0,1,1,0,0,0,0,0,4,50,20,20:50,0,0,0,0,
25,11/29/18,25,22-188,BOS_RW,,NYI,W,0,1,1,0,0,0,0,0,0,0,1,0,6,0,23,18:07,0,1,0,0,
26,12/1/18,26,22-190,BOS_RW,,DET,L,0,1,1,-2,0,0,0,0,0,0,1,0,1,0,23,24:54:00,1,0,0,0,
27,12/4/18,27,22-193,BOS_RW,@,FLA,L,0,0,0,0,4,0,0,0,0,0,0,0,4,0,20,15:13,1,1,0,0,
28,12/6/18,28,22-195,BOS_RW,@,TBL,L,1,1,2,0,0,1,0,0,0,1,0,0,4,25,24,19:33,0,1,0,0,
29,12/8/18,29,22-197,BOS_RW,,TOR,W,0,2,2,3,0,0,0,0,0,2,0,0,6,0,25,19:49,1,0,0,0,
30,12/9/18,30,22-198,BOS_RW,@,OTT,W,0,1,1,0,2,0,0,0,0,0,1,0,4,0,21,21:40,0,1,0,0,
31,12/11/18,31,22-200,BOS_RW,,ARI,W,1,2,3,3,0,1,0,0,0,2,0,0,1,100,25,22:14,1,1,0,0,
32,12/14/18,32,22-203,BOS_RW,@,PIT,L,0,1,1,-2,0,0,0,0,0,1,0,0,7,0,21,20:07,0,0,0,0,
33,12/16/18,33,22-205,BOS_RW,,BUF,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,19,22:46,0,1,0,0,
34,12/17/18,34,22-206,BOS_RW,@,MTL,W,0,2,2,2,2,0,0,0,0,1,1,0,3,0,22,15:51,1,2,0,0,
35,12/20/18,35,22-209,BOS_RW,,ANA,W,1,2,3,0,0,0,1,0,0,1,1,0,2,50,20,16:47,0,0,0,0,
36,12/22/18,36,22-211,BOS_RW,,NSH,W,1,2,3,0,0,1,0,0,0,0,2,0,3,33.3,22,18:19,2,0,0,0,
37,12/23/18,37,22-212,BOS_RW,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,26,20:46,3,0,0,0,
