Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
25,11/26/18,25,21-205,TOR_RW,,BOS,W,0,3,3,2,0,0,0,0,0,3,0,0,2,0,23,21:49,2,0,0,0,
26,11/28/18,26,21-207,TOR_RW,,SJS,W,0,3,3,0,0,0,0,0,0,1,2,0,1,0,24,18:30,0,0,1,0,100
27,12/1/18,27,21-210,TOR_RW,@,MIN,W,0,2,2,0,0,0,0,0,0,1,1,0,0,,24,17:38,0,0,0,0,
28,12/4/18,28,21-213,TOR_RW,@,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,31,22:20,0,0,0,0,
29,12/6/18,29,21-215,TOR_RW,,DET,L-OT,0,1,1,-1,2,0,0,0,0,1,0,0,1,0,30,21:00,0,1,0,0,
30,12/8/18,30,21-217,TOR_RW,@,BOS,L,0,0,0,-3,0,0,0,0,0,0,0,0,0,,27,19:07,1,0,0,0,
31,12/11/18,31,21-220,TOR_RW,@,CAR,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,24,16:34,0,0,0,0,
32,12/13/18,32,21-222,TOR_RW,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,7,0,27,21:23,0,1,0,0,
33,12/15/18,33,21-224,TOR_RW,@,FLA,L-OT,2,0,2,1,2,2,0,0,0,0,0,0,3,66.7,26,20:42,0,0,0,0,
34,12/18/18,34,21-227,TOR_RW,@,NJD,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,22,17:28,0,0,0,0,
35,12/20/18,35,21-229,TOR_RW,,FLA,W,1,2,3,1,0,0,1,0,0,1,1,0,3,33.3,26,18:26,1,0,0,0,
36,12/22/18,36,21-231,TOR_RW,,NYR,W,2,1,3,2,0,2,0,0,1,1,0,0,3,66.7,24,19:23,0,0,1,0,100
37,12/23/18,37,21-232,TOR_RW,,DET,W,0,0,0,2,4,0,0,0,0,0,0,0,3,0,25,20:33,2,0,0,1,0
38,12/28/18,38,21-237,TOR_RW,@,CBJ,W,1,2,3,1,0,1,0,0,1,1,1,0,2,50,25,22:23,1,2,0,0,
39,12/29/18,39,21-238,TOR_RW,,NYI,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,24,18:54,0,0,0,0,
