Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%,
19,11/16/18,19,33-115,BOS_C,@,DAL,L-OT,0,0,0,0,2,0,0,0,0,0,0,0,2,0,18,13:00,0,1,6,8,42.9,
20,12/22/18,20,33-151,BOS_C,,NSH,W,2,2,4,2,0,1,1,0,0,1,1,0,3,66.7,24,16:25,0,0,13,12,52,
21,12/23/18,21,33-152,BOS_C,@,CAR,L,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,20:07,4,2,21,12,63.6,
22,12/27/18,22,33-156,BOS_C,,NJD,L,1,0,1,0,0,1,0,0,0,0,0,0,5,20,23,20:22,2,1,14,10,58.3,
23,12/29/18,23,33-158,BOS_C,@,BUF,W,0,0,0,0,0,0,0,0,0,0,0,0,5,0,27,22:49,0,1,11,9,55,
24,1/1/19,24,33-161,BOS_C,@,CHI,W,1,1,2,1,0,0,1,0,0,0,1,0,2,50,27,18:31,0,2,13,14,48.1,
25,1/3/19,25,33-163,BOS_C,,CGY,W,0,2,2,1,0,0,0,0,0,2,0,0,0,,24,19:38,0,1,10,10,50,
26,1/5/19,26,33-165,BOS_C,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,21,17:31,2,2,13,7,65,
27,1/8/19,27,33-168,BOS_C,,MIN,W,1,2,3,1,0,0,1,0,0,1,1,0,3,33.3,17,12:14,0,0,8,8,50,
28,1/10/19,28,33-170,BOS_C,,WSH,L,0,0,0,-3,2,0,0,0,0,0,0,0,4,0,23,20:43,2,0,17,7,70.8,
29,1/12/19,29,33-172,BOS_C,@,TOR,W,0,0,0,1,2,0,0,0,0,0,0,0,1,0,24,18:21,1,2,13,8,61.9,
30,1/14/19,30,33-174,BOS_C,,MTL,L-OT,0,1,1,-2,0,0,0,0,0,1,0,0,3,0,23,17:44,2,0,10,12,45.5,
31,1/16/19,31,33-176,BOS_C,@,PHI,L,0,0,0,1,2,0,0,0,0,0,0,0,5,0,23,20:56,1,0,15,11,57.7,
32,1/17/19,32,33-177,BOS_C,,STL,W,0,1,1,0,0,0,0,0,0,1,0,0,4,0,21,18:03,2,2,12,4,75,
33,1/19/19,33,33-179,BOS_C,,NYR,L,0,1,1,-1,2,0,0,0,0,1,0,0,1,0,22,18:13,0,0,17,10,63,
