Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%,
24,12/7/16,24,31-136,BOS_C,@,WSH,L-OT,0,0,0,1,2,0,0,0,0,0,0,0,2,0,25,19:11,0,0,10,7,58.8,
25,12/8/16,25,31-137,BOS_C,,COL,L,0,0,0,0,0,0,0,0,0,0,0,0,2,0,21,17:18,0,1,6,10,37.5,
26,12/10/16,26,31-139,BOS_C,,TOR,L,0,0,0,-2,0,0,0,0,0,0,0,0,3,0,21,18:23,1,0,9,8,52.9,
27,12/12/16,27,31-141,BOS_C,@,MTL,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,28,18:50,0,0,11,11,50,
28,12/14/16,28,31-143,BOS_C,@,PIT,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,2,0,24,21:16,1,0,17,8,68,
29,12/15/16,29,31-144,BOS_C,,ANA,L,0,0,0,1,0,0,0,0,0,0,0,0,3,0,25,25:31:00,2,3,10,16,38.5,
30,12/18/16,30,31-147,BOS_C,,LAK,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,20:58,2,0,12,10,54.5,
31,12/20/16,31,31-149,BOS_C,,NYI,L,0,0,0,-2,0,0,0,0,0,0,0,0,5,0,21,20:41,2,2,13,3,81.3,
32,12/22/16,32,31-151,BOS_C,@,FLA,W,1,0,1,0,0,0,1,0,1,0,0,0,2,50,28,20:30,1,0,12,9,57.1,
33,12/23/16,33,31-152,BOS_C,@,CAR,L-OT,0,0,0,0,0,0,0,0,0,0,0,0,5,0,25,21:01,0,0,14,7,66.7,
34,12/27/16,34,31-156,BOS_C,@,CBJ,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,23,19:38,0,0,12,12,50,
35,12/29/16,35,31-158,BOS_C,@,BUF,W,1,0,1,1,0,1,0,0,0,0,0,0,6,16.7,29,21:49,1,2,14,14,50,
36,12/31/16,36,31-160,BOS_C,,BUF,W,1,0,1,0,0,0,1,0,1,0,0,0,5,20,23,19:08,1,0,15,9,62.5,
37,1/2/17,37,31-162,BOS_C,@,NJD,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,23,18:30,1,1,11,10,52.4,
38,1/5/17,38,31-165,BOS_C,,EDM,L,1,1,2,-2,0,1,0,0,0,0,1,0,7,14.3,26,21:46,1,0,18,6,75,
39,1/7/17,39,31-167,BOS_C,@,FLA,W,0,0,0,1,0,0,0,0,0,0,0,0,7,0,22,18:15,0,0,13,8,61.9,
40,1/8/17,40,31-168,BOS_C,@,CAR,L-OT,0,1,1,1,2,0,0,0,0,1,0,0,2,0,22,17:50,0,3,7,7,50,
41,1/10/17,41,31-170,BOS_C,@,STL,W,0,2,2,2,0,0,0,0,0,2,0,0,8,0,29,20:56,2,0,15,14,51.7,
42,1/12/17,42,31-172,BOS_C,@,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,22,18:26,1,1,11,8,57.9,
43,1/14/17,43,31-174,BOS_C,,PHI,W,1,0,1,4,0,0,1,0,1,0,0,0,3,33.3,25,20:03,0,0,13,6,68.4,
44,1/16/17,44,31-176,BOS_C,,NYI,L,0,0,0,-3,0,0,0,0,0,0,0,0,3,0,22,19:09,0,1,14,9,60.9,
45,1/18/17,45,31-178,BOS_C,@,DET,L-SO,1,2,3,0,0,0,1,0,0,1,0,1,2,50,30,19:58,2,0,19,6,76,
46,1/20/17,46,31-180,BOS_C,,CHI,L,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,19:13,0,0,15,7,68.2,
47,1/22/17,47,31-182,BOS_C,@,PIT,L,0,0,0,0,0,0,0,0,0,0,0,0,7,0,22,18:21,0,0,10,10,50,
48,1/24/17,48,31-184,BOS_C,,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0,27,20:45,1,0,13,8,61.9,
49,1/26/17,49,31-186,BOS_C,,PIT,W,1,1,2,1,2,0,1,0,1,0,0,1,5,20,30,22:33,2,0,23,6,79.3,
50,1/31/17,50,31-191,BOS_C,@,TBL,W,1,0,1,0,0,1,0,0,0,0,0,0,2,50,29,18:45,0,2,15,16,48.4,
51,2/1/17,51,31-192,BOS_C,@,WSH,L,0,1,1,-2,0,0,0,0,0,0,1,0,3,0,19,16:24,0,1,9,7,56.3,
52,2/4/17,52,31-195,BOS_C,,TOR,L,1,2,3,1,0,0,1,0,0,2,0,0,7,14.3,28,21:08,1,0,21,10,67.7,
53,2/9/17,53,31-200,BOS_C,,SJS,W,1,3,4,1,0,1,0,0,0,1,2,0,2,50,23,19:16,0,0,14,9,60.9,
54,2/11/17,54,31-202,BOS_C,,VAN,W,0,0,0,0,0,0,0,0,0,0,0,0,2,0,26,19:16,1,1,11,10,52.4,
55,2/12/17,55,31-203,BOS_C,,MTL,W,0,0,0,0,2,0,0,0,0,0,0,0,4,0,27,19:41,0,0,13,8,61.9,
56,2/19/17,56,31-210,BOS_C,@,SJS,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,26,18:51,0,0,12,12,50,
57,2/22/17,57,31-213,BOS_C,@,ANA,L,0,0,0,0,2,0,0,0,0,0,0,0,7,0,26,18:33,2,0,14,11,56,
58,2/23/17,58,31-214,BOS_C,@,LAK,W,0,1,1,2,0,0,0,0,0,0,1,0,4,0,25,18:28,2,2,16,9,64,
59,2/26/17,59,31-217,BOS_C,@,DAL,W,2,1,3,3,0,2,0,0,1,1,0,0,5,40,26,17:16,0,2,16,6,72.7,
60,2/28/17,60,31-219,BOS_C,,ARI,W,0,2,2,2,0,0,0,0,0,1,0,1,1,0,24,17:35,1,0,12,9,57.1,
61,3/2/17,61,31-221,BOS_C,,NYR,L,0,0,0,1,0,0,0,0,0,0,0,0,5,0,22,18:58,2,1,14,10,58.3,
62,3/4/17,62,31-223,BOS_C,,NJD,W,0,2,2,-1,0,0,0,0,0,1,1,0,6,0,23,20:31,1,0,15,11,57.7,
63,3/6/17,63,31-225,BOS_C,@,OTT,L,1,0,1,-1,0,1,0,0,0,0,0,0,6,16.7,22,18:34,0,0,11,9,55,
64,3/8/17,64,31-227,BOS_C,,DET,W,0,0,0,2,0,0,0,0,0,0,0,0,2,0,20,17:17,0,0,13,7,65,
65,3/11/17,65,31-230,BOS_C,,PHI,W,0,1,1,-1,0,0,0,0,0,0,1,0,4,0,22,21:51,1,0,18,10,64.3,
66,3/13/17,66,31-232,BOS_C,@,VAN,W,0,2,2,2,0,0,0,0,0,2,0,0,6,0,26,19:58,0,1,17,9,65.4,
67,3/15/17,67,31-234,BOS_C,@,CGY,W,0,1,1,-1,2,0,0,0,0,1,0,0,3,0,24,19:45,0,2,18,4,81.8,
68,3/16/17,68,31-235,BOS_C,@,EDM,L,0,1,1,1,0,0,0,0,0,1,0,0,3,0,28,21:59,0,1,13,12,52,
69,3/20/17,69,31-239,BOS_C,@,TOR,L,0,0,0,-1,4,0,0,0,0,0,0,0,4,0,22,17:43,1,0,13,5,72.2,
70,3/21/17,70,31-240,BOS_C,,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,26,22:24,1,1,22,13,62.9,
71,3/23/17,71,31-242,BOS_C,,TBL,L,0,1,1,-2,2,0,0,0,0,0,1,0,3,0,26,20:18,0,1,21,7,75,
72,3/25/17,72,31-244,BOS_C,@,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,21:35,1,0,13,11,54.2,
73,3/28/17,73,31-247,BOS_C,,NSH,W,1,0,1,2,0,1,0,0,0,0,0,0,7,14.3,22,18:46,0,2,8,10,44.4,
74,3/30/17,74,31-249,BOS_C,,DAL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,22,18:37,1,0,13,12,52,
75,4/1/17,75,31-251,BOS_C,,FLA,W,2,0,2,2,0,2,0,0,0,0,0,0,5,40,27,20:04,1,0,7,13,35,
76,4/2/17,76,31-252,BOS_C,@,CHI,W,1,0,1,0,0,0,1,0,0,0,0,0,5,20,27,21:32,0,0,21,10,67.7,
77,4/4/17,77,31-254,BOS_C,,TBL,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,19:06,0,0,17,0,100,
78,4/6/17,78,31-256,BOS_C,,OTT,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0,27,19:24,0,1,9,4,69.2,
79,4/8/17,79,31-258,BOS_C,,WSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,4,0,25,20:07,0,0,12,2,85.7,
1,10/8/15,1,30-076,BOS_C,,WPG,L,0,0,0,-2,2,0,0,0,0,0,0,0,1,0,24,15:47,1,0,11,7,61.1,
2,10/10/15,2,30-078,BOS_C,,MTL,L,1,0,1,0,0,0,1,0,0,0,0,0,3,33.3,25,18:44,1,0,12,16,42.9,
3,10/12/15,3,30-080,BOS_C,,TBL,L,0,1,1,-1,4,0,0,0,0,0,1,0,1,0,27,17:45,0,0,14,9,60.9,
4,10/14/15,4,30-082,BOS_C,@,COL,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,18:13,0,1,9,7,56.3,
5,10/17/15,5,30-085,BOS_C,@,ARI,W,2,1,3,1,0,0,2,0,1,0,0,1,8,25,29,22:09,1,1,18,12,60,
6,10/21/15,6,30-089,BOS_C,,PHI,L-OT,1,1,2,0,0,0,1,0,0,1,0,0,2,50,31,20:10,2,0,12,14,46.2,
7,10/23/15,7,30-091,BOS_C,@,NYI,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,30,20:50,2,0,15,9,62.5,
8,10/27/15,8,30-095,BOS_C,,ARI,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,26,19:51,0,0,17,14,54.8,
9,10/30/15,9,30-098,BOS_C,@,FLA,W,0,1,1,1,0,0,0,0,0,0,1,0,1,0,27,19:15,2,1,17,12,58.6,
10,10/31/15,10,30-099,BOS_C,@,TBL,W,0,0,0,1,0,0,0,0,0,0,0,0,1,0,26,21:14,1,0,12,12,50,
11,11/3/15,11,30-102,BOS_C,,DAL,L,0,1,1,-1,0,0,0,0,0,0,1,0,6,0,25,20:33,0,0,15,11,57.7,
12,11/5/15,12,30-104,BOS_C,@,WSH,L,0,0,0,0,0,0,0,0,0,0,0,0,5,0,23,18:42,2,1,14,13,51.9,
13,11/7/15,13,30-106,BOS_C,@,MTL,L,0,1,1,-1,0,0,0,0,0,0,1,0,2,0,26,18:17,1,0,15,13,53.6,
14,11/8/15,14,30-107,BOS_C,@,NYI,W,1,1,2,1,4,1,0,0,1,0,1,0,7,14.3,28,21:05,1,1,20,12,62.5,
15,11/12/15,15,30-111,BOS_C,,COL,L,0,1,1,0,0,0,0,0,0,0,1,0,5,0,27,21:45,3,2,17,16,51.5,
16,11/14/15,16,30-113,BOS_C,,DET,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,25,19:18,0,2,13,7,65,
17,11/17/15,17,30-116,BOS_C,,SJS,L,1,0,1,-2,0,0,1,0,0,0,0,0,3,33.3,27,19:57,0,0,15,13,53.6,
18,11/19/15,18,30-118,BOS_C,,MIN,W,0,1,1,1,0,0,0,0,0,0,1,0,3,0,22,20:48,0,1,7,5,58.3,
19,11/21/15,19,30-120,BOS_C,,TOR,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,26,19:29,2,1,13,7,65,
20,11/23/15,20,30-122,BOS_C,@,TOR,W,0,1,1,3,2,0,0,0,0,0,0,1,3,0,35,22:47,2,0,14,22,38.9,
21,11/25/15,21,30-124,BOS_C,@,DET,W,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,29,21:56,1,1,6,12,33.3,
22,11/27/15,22,30-126,BOS_C,,NYR,W,1,1,2,1,0,1,0,0,0,0,1,0,6,16.7,29,19:59,1,1,12,11,52.2,
23,12/2/15,23,30-131,BOS_C,@,EDM,L-SO,0,1,1,1,2,0,0,0,0,1,0,0,1,0,28,21:40,0,1,13,14,48.1,
24,12/4/15,24,30-133,BOS_C,@,CGY,L-OT,0,0,0,1,0,0,0,0,0,0,0,0,6,0,32,19:50,0,0,14,7,66.7,
25,12/5/15,25,30-134,BOS_C,@,VAN,W,0,1,1,2,0,0,0,0,0,1,0,0,1,0,27,18:45,1,0,10,11,47.6,
26,12/7/15,26,30-136,BOS_C,,NSH,L,0,1,1,0,2,0,0,0,0,0,1,0,1,0,27,20:17,2,2,23,8,74.2,
27,12/9/15,27,30-138,BOS_C,@,MTL,W,1,0,1,0,0,1,0,0,0,0,0,0,5,20,29,20:53,3,2,18,14,56.3,
28,12/12/15,28,30-141,BOS_C,,FLA,W,0,2,2,1,2,0,0,0,0,1,1,0,3,0,24,19:35,2,0,11,4,73.3,
29,12/14/15,29,30-143,BOS_C,,EDM,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,6,0,23,19:05,0,1,15,11,57.7,
30,12/16/15,30,30-145,BOS_C,,PIT,W,0,1,1,0,0,0,0,0,0,0,1,0,0,,26,19:15,1,0,14,7,66.7,
31,12/18/15,31,30-147,BOS_C,@,PIT,W,2,0,2,0,2,1,0,1,0,0,0,0,4,50,28,19:57,2,0,14,13,51.9,
32,12/20/15,32,30-149,BOS_C,,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,6,0,26,20:15,4,0,21,10,67.7,
33,12/22/15,33,30-151,BOS_C,,STL,L,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,26,20:08,0,1,11,11,50,
34,12/26/15,34,30-155,BOS_C,,BUF,L,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,23,21:00,0,1,17,8,68,
35,12/27/15,35,30-156,BOS_C,@,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,24,20:12,1,0,13,7,65,
36,12/29/15,36,30-158,BOS_C,,OTT,W,2,0,2,-1,0,0,2,0,1,0,0,0,5,40,25,20:34,0,0,17,11,60.7,
37,1/1/16,37,30-161,BOS_C,,MTL,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,23:30,1,1,16,13,55.2,
38,1/5/16,38,30-165,BOS_C,,WSH,L,1,1,2,1,2,0,1,0,0,1,0,0,2,50,25,20:22,1,0,14,6,70,
39,1/8/16,39,30-168,BOS_C,@,NJD,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0,23,17:58,1,0,12,6,66.7,
40,1/9/16,40,30-169,BOS_C,@,OTT,L-OT,0,1,1,1,0,0,0,0,0,1,0,0,6,0,28,21:38,1,2,12,15,44.4,
41,1/11/16,41,30-171,BOS_C,@,NYR,L,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,24,18:15,1,0,12,9,57.1,
42,1/13/16,42,30-173,BOS_C,@,PHI,L,0,0,0,0,2,0,0,0,0,0,0,0,2,0,23,18:11,1,1,12,7,63.2,
43,1/15/16,43,30-175,BOS_C,@,BUF,W,0,0,0,1,0,0,0,0,0,0,0,0,3,0,24,18:34,0,1,12,10,54.5,
44,1/16/16,44,30-176,BOS_C,,TOR,W,2,0,2,2,0,2,0,0,0,0,0,0,5,40,25,20:35,2,1,16,12,57.1,
45,1/19/16,45,30-179,BOS_C,@,MTL,W,1,0,1,2,2,1,0,0,1,0,0,0,5,20,28,21:48,3,1,15,13,53.6,
46,1/21/16,46,30-181,BOS_C,,VAN,L,0,1,1,-1,0,0,0,0,0,1,0,0,3,0,21,17:43,3,0,13,6,68.4,
47,1/23/16,47,30-183,BOS_C,,CBJ,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0,25,23:56,0,2,12,9,57.1,
48,1/25/16,48,30-185,BOS_C,@,PHI,W,1,0,1,1,0,0,1,0,0,0,0,0,4,25,28,21:13,0,2,13,18,41.9,
49,1/26/16,49,30-186,BOS_C,,ANA,L,0,0,0,-1,2,0,0,0,0,0,0,0,3,0,26,19:57,0,0,17,7,70.8,
50,2/2/16,50,30-193,BOS_C,,TOR,L-OT,0,0,0,-2,0,0,0,0,0,0,0,0,2,0,27,21:03,0,0,19,7,73.1,
51,2/4/16,51,30-195,BOS_C,@,BUF,W,0,1,1,1,2,0,0,0,0,1,0,0,1,0,26,21:15,2,1,12,10,54.5,
52,2/6/16,52,30-197,BOS_C,,BUF,W,0,0,0,-1,0,0,0,0,0,0,0,0,5,0,28,20:53,0,0,10,10,50,
53,2/9/16,53,30-200,BOS_C,,LAK,L,0,0,0,-1,2,0,0,0,0,0,0,0,5,0,23,17:21,1,0,10,12,45.5,
54,2/11/16,54,30-202,BOS_C,@,WPG,W,2,0,2,3,5,2,0,0,0,0,0,0,9,22.2,24,14:25,0,0,14,12,53.8,
55,2/16/16,55,30-207,BOS_C,@,CBJ,W,1,0,1,1,0,1,0,0,0,0,0,0,4,25,25,19:44,0,0,20,8,71.4,
56,2/18/16,56,30-209,BOS_C,@,NSH,L,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,25,21:55,0,0,19,14,57.6,
57,2/20/16,57,30-211,BOS_C,@,DAL,W,0,2,2,-1,0,0,0,0,0,2,0,0,0,,28,17:29,0,1,16,14,53.3,
58,2/22/16,58,30-213,BOS_C,,CBJ,L,0,0,0,-1,2,0,0,0,0,0,0,0,1,0,26,20:49,0,0,17,8,68,
59,2/24/16,59,30-215,BOS_C,,PIT,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,25,17:09,1,0,13,12,52,
60,2/26/16,60,30-217,BOS_C,@,CAR,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25,25,18:26,2,3,17,14,54.8,
61,2/28/16,61,30-219,BOS_C,,TBL,L,0,0,0,-1,2,0,0,0,0,0,0,0,2,0,24,20:10,0,1,12,10,54.5,
62,3/1/16,62,30-221,BOS_C,,CGY,W,1,0,1,0,0,0,1,0,1,0,0,0,3,33.3,27,21:13,0,2,16,12,57.1,
63,3/3/16,63,30-223,BOS_C,,CHI,W,1,1,2,2,0,1,0,0,0,0,1,0,3,33.3,24,16:16,0,1,7,7,50,
64,3/5/16,64,30-225,BOS_C,,WSH,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,7,14.3,23,21:13,0,2,14,7,66.7,
65,3/7/16,65,30-227,BOS_C,@,FLA,W,2,0,2,2,0,2,0,0,0,0,0,0,6,33.3,29,20:46,2,0,14,8,63.6,
66,3/8/16,66,30-228,BOS_C,@,TBL,W,0,1,1,1,0,0,0,0,0,1,0,0,1,0,26,16:18,2,1,10,6,62.5,
67,3/10/16,67,30-230,BOS_C,,CAR,L-OT,0,1,1,-1,4,0,0,0,0,0,1,0,1,0,25,18:50,1,2,9,5,64.3,
68,3/12/16,68,30-232,BOS_C,,NYI,W,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,19:08,1,3,12,10,54.5,
69,3/15/16,69,30-235,BOS_C,@,SJS,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0,26,17:46,1,1,14,13,51.9,
70,3/18/16,70,30-238,BOS_C,@,ANA,L,0,0,0,-2,0,0,0,0,0,0,0,0,7,0,24,17:10,1,1,10,8,55.6,
71,3/19/16,71,30-239,BOS_C,@,LAK,L,0,0,0,0,0,0,0,0,0,0,0,0,4,0,28,21:33,0,0,17,9,65.4,
72,3/23/16,72,30-243,BOS_C,@,NYR,L,0,1,1,-1,2,0,0,0,0,1,0,0,6,0,25,18:34,4,0,17,8,68,
73,3/24/16,73,30-244,BOS_C,,FLA,L,0,0,0,-1,0,0,0,0,0,0,0,0,2,0,25,24:00:00,1,1,19,16,54.3,
74,3/26/16,74,30-246,BOS_C,@,TOR,W,1,0,1,0,0,0,1,0,0,0,0,0,2,50,26,18:26,2,1,13,13,50,
75,3/29/16,75,30-249,BOS_C,@,NJD,L,0,0,0,1,2,0,0,0,0,0,0,0,5,0,22,19:17,0,0,17,12,58.6,
76,4/1/16,76,30-252,BOS_C,@,STL,W,1,0,1,0,0,0,1,0,1,0,0,0,2,50,27,20:13,1,2,13,17,43.3,
77,4/3/16,77,30-254,BOS_C,@,CHI,L,2,1,3,2,0,2,0,0,0,1,0,0,7,28.6,26,18:49,0,1,14,11,56,
78,4/5/16,78,30-256,BOS_C,,CAR,L-SO,0,0,0,0,0,0,0,0,0,0,0,0,3,0,28,23:32,2,0,21,9,70,
79,4/7/16,79,30-258,BOS_C,,DET,W,0,1,1,1,0,0,0,0,0,1,0,0,3,0,28,19:21,0,0,12,10,54.5,
80,4/9/16,80,30-260,BOS_C,,OTT,L,0,0,0,-2,0,0,0,0,0,0,0,0,4,0,27,20:03,0,0,17,15,53.1,
1,10/3/13,1,28-071,BOS_C,,TBL,W,1,0,1,1,0,0,0,1,0,,,,2,50,29,20:02,1,1,16,11,59.3,
2,10/5/13,2,28-073,BOS_C,,DET,W,0,0,0,0,0,0,0,0,0,,,,0,,21,15:51,0,1,8,11,42.1,
3,10/10/13,3,28-078,BOS_C,,COL,L,0,0,0,-1,2,0,0,0,0,,,,4,0,23,18:24,0,1,9,11,45,
4,10/12/13,4,28-080,BOS_C,@,CBJ,W,0,1,1,1,2,0,0,0,0,,,,1,0,27,20:19,1,0,14,7,66.7,
5,10/14/13,5,28-082,BOS_C,,DET,L,0,0,0,0,0,0,0,0,0,,,,1,0,22,16:30,0,1,10,6,62.5,
6,10/17/13,6,28-085,BOS_C,@,FLA,W,0,1,1,1,0,0,0,0,0,,,,2,0,26,18:35,0,0,13,9,59.1,
7,10/19/13,7,28-087,BOS_C,@,TBL,W,1,0,1,1,0,1,0,0,0,,,,6,16.7,30,20:25,0,0,13,12,52,
8,10/23/13,8,28-091,BOS_C,@,BUF,W,0,0,0,0,0,0,0,0,0,,,,4,0,23,16:59,0,0,12,6,66.7,
9,10/24/13,9,28-092,BOS_C,,SJS,W,0,0,0,0,0,0,0,0,0,,,,4,0,24,18:06,1,1,13,2,86.7,
10,10/26/13,10,28-094,BOS_C,,NJD,L,0,0,0,0,2,0,0,0,0,,,,1,0,27,18:38,1,1,14,8,63.6,
11,10/30/13,11,28-098,BOS_C,@,PIT,L,1,1,2,1,0,1,0,0,0,,,,5,20,25,17:33,0,0,13,7,65,
12,10/31/13,12,28-099,BOS_C,,ANA,W,0,0,0,-1,2,0,0,0,0,,,,1,0,25,18:36,1,0,11,6,64.7,
13,11/2/13,13,28-101,BOS_C,@,NYI,L,0,0,0,-1,0,0,0,0,0,,,,5,0,25,18:01,0,0,11,7,61.1,
14,11/5/13,14,28-104,BOS_C,,DAL,L-SO,0,0,0,0,0,0,0,0,0,,,,7,0,29,22:35,0,1,11,9,55,
15,11/7/13,15,28-106,BOS_C,,FLA,W,0,0,0,0,2,0,0,0,0,,,,3,0,22,15:06,1,0,9,10,47.4,
16,11/9/13,16,28-108,BOS_C,,TOR,W,2,0,2,1,0,1,1,0,1,,,,4,50,27,18:20,1,1,14,9,60.9,
17,11/11/13,17,28-110,BOS_C,,TBL,W,1,0,1,1,0,1,0,0,1,,,,3,33.3,23,16:45,2,0,8,10,44.4,
18,11/14/13,18,28-113,BOS_C,,CBJ,W,0,1,1,1,0,0,0,0,0,,,,2,0,26,19:08,2,1,11,8,57.9,
19,11/15/13,19,28-114,BOS_C,@,OTT,L,0,1,1,2,0,0,0,0,0,,,,3,0,27,17:16,1,1,13,10,56.5,
20,11/18/13,20,28-117,BOS_C,@,CAR,W,0,0,0,-1,0,0,0,0,0,,,,2,0,25,20:03,0,0,13,9,59.1,
21,11/19/13,21,28-118,BOS_C,@,NYR,W,0,0,0,0,0,0,0,0,0,,,,3,0,26,19:13,2,2,18,5,78.3,
22,11/21/13,22,28-120,BOS_C,,STL,L-SO,0,0,0,0,0,0,0,0,0,,,,3,0,25,19:03,2,1,10,11,47.6,
23,11/23/13,23,28-122,BOS_C,,CAR,W,0,0,0,0,0,0,0,0,0,,,,1,0,24,17:31,3,1,14,8,63.6,
24,11/25/13,24,28-124,BOS_C,,PIT,W,0,0,0,0,0,0,0,0,0,,,,3,0,25,18:12,1,0,14,7,66.7,
25,11/27/13,25,28-126,BOS_C,@,DET,L,0,0,0,0,0,0,0,0,0,,,,0,,23,16:51,0,0,15,7,68.2,
26,11/29/13,26,28-128,BOS_C,,NYR,W,1,0,1,1,0,1,0,0,0,,,,3,33.3,22,15:04,0,1,11,5,68.8,
27,11/30/13,27,28-129,BOS_C,,CBJ,W,1,0,1,1,0,1,0,0,0,,,,1,100,20,16:26,1,1,14,5,73.7,
28,12/5/13,28,28-134,BOS_C,@,MTL,L,0,0,0,0,0,0,0,0,0,,,,4,0,27,19:14,0,0,12,16,42.9,
29,12/7/13,29,28-136,BOS_C,,PIT,W,0,1,1,3,0,0,0,0,0,,,,2,0,27,22:49,0,1,17,10,63,
30,12/8/13,30,28-137,BOS_C,@,TOR,W,1,1,2,0,2,1,0,0,0,,,,5,20,25,18:38,0,1,12,10,54.5,
31,12/10/13,31,28-139,BOS_C,@,CGY,W,0,0,0,-1,0,0,0,0,0,,,,0,,21,15:03,1,2,16,2,88.9,
32,12/12/13,32,28-141,BOS_C,@,EDM,W,0,1,1,0,0,0,0,0,0,,,,2,0,26,18:07,2,2,7,10,41.2,
33,12/14/13,33,28-143,BOS_C,@,VAN,L,0,0,0,1,0,0,0,0,0,,,,7,0,24,17:17,0,1,12,9,57.1,
34,12/17/13,34,28-146,BOS_C,,CGY,W,0,0,0,0,2,0,0,0,0,,,,4,0,23,18:03,0,1,18,7,72,
35,12/19/13,35,28-148,BOS_C,@,BUF,L,0,1,1,1,4,0,0,0,0,,,,2,0,23,17:36,1,2,14,8,63.6,
36,12/21/13,36,28-150,BOS_C,,BUF,W,0,1,1,1,7,0,0,0,0,,,,2,0,23,16:29,0,1,16,5,76.2,
37,12/23/13,37,28-152,BOS_C,@,NSH,W,0,0,0,1,2,0,0,0,0,,,,4,0,30,19:04,0,3,18,10,64.3,
38,12/27/13,38,28-156,BOS_C,,OTT,W,0,2,2,3,0,0,0,0,0,,,,4,0,24,16:01,0,2,14,10,58.3,
39,12/28/13,39,28-157,BOS_C,@,OTT,L,0,1,1,0,0,0,0,0,0,,,,2,0,27,22:39,1,2,18,8,69.2,
40,12/31/13,40,28-160,BOS_C,,NYI,L,1,0,1,-1,0,0,1,0,0,,,,4,25,30,20:08,2,0,23,8,74.2,
41,1/2/14,41,28-162,BOS_C,,NSH,W,0,1,1,0,0,0,0,0,0,,,,1,0,28,21:09,1,1,17,9,65.4,
42,1/4/14,42,28-164,BOS_C,,WPG,W,0,1,1,1,0,0,0,0,0,,,,1,0,23,17:26,0,0,16,5,76.2,
43,1/7/14,43,28-167,BOS_C,@,ANA,L,0,0,0,-1,0,0,0,0,0,,,,4,0,26,18:01,0,0,8,11,42.1,
44,1/9/14,44,28-169,BOS_C,@,LAK,L,0,0,0,-1,0,0,0,0,0,,,,1,0,27,18:42,1,2,14,12,53.8,
45,1/11/14,45,28-171,BOS_C,@,SJS,W,0,0,0,0,0,0,0,0,0,,,,1,0,24,18:52,2,0,11,16,40.7,
46,1/14/14,46,28-174,BOS_C,,TOR,L,1,1,2,2,0,1,0,0,0,,,,3,33.3,24,18:52,0,1,16,13,55.2,
47,1/16/14,47,28-176,BOS_C,@,DAL,W,1,1,2,2,0,1,0,0,0,,,,3,33.3,25,19:10,2,1,12,15,44.4,
48,1/19/14,48,28-179,BOS_C,@,CHI,L-SO,0,1,1,1,0,0,0,0,0,,,,3,0,25,21:00,0,0,10,8,55.6,
49,1/20/14,49,28-180,BOS_C,,LAK,W,0,2,2,1,2,0,0,0,0,,,,1,0,25,17:23,0,0,9,7,56.3,
50,1/25/14,50,28-185,BOS_C,@,PHI,W,1,0,1,2,0,1,0,0,0,,,,3,33.3,25,16:53,2,1,16,9,64,
51,1/27/14,51,28-187,BOS_C,@,NYI,W,1,1,2,1,2,1,0,0,0,,,,4,25,26,15:51,0,1,12,14,46.2,
52,1/28/14,52,28-188,BOS_C,,FLA,W,0,0,0,0,0,0,0,0,0,,,,2,0,20,15:04,1,0,15,8,65.2,
