Rk,Date,G,Age,Tm,,Opp,,G,A,PTS,+/-,PIM,EV,PP,SH,GW,EV,PP,SH,S,S%,SHFT,TOI,HIT,BLK,FOW,FOL,FO%
22,11/21/18,22,28-062,TOR_C,@,CAR,L,1,0,1,-2,0,1,0,0,0,0,0,0,3,33.3,26,19:37,0,0,14,7,66.7
23,11/23/18,23,28-064,TOR_C,@,CBJ,L,0,0,0,-2,4,0,0,0,0,0,0,0,3,0,27,21:44,1,0,12,7,63.2
24,11/24/18,24,28-065,TOR_C,,PHI,W,1,0,1,1,0,1,0,0,0,0,0,0,3,33.3,23,17:00,0,0,8,9,47.1
25,11/26/18,25,28-067,TOR_C,,BOS,W,0,1,1,1,0,0,0,0,0,1,0,0,2,0,23,21:02,1,0,11,9,55
26,11/28/18,26,28-069,TOR_C,,SJS,W,2,0,2,0,0,1,1,0,0,0,0,0,6,33.3,23,18:40,1,1,14,7,66.7
27,12/1/18,27,28-072,TOR_C,@,MIN,W,0,0,0,0,0,0,0,0,0,0,0,0,4,0,22,17:53,0,2,14,8,63.6
28,12/4/18,28,28-075,TOR_C,@,BUF,W,0,1,1,1,0,0,0,0,0,1,0,0,5,0,30,22:00,1,0,16,9,64
29,12/6/18,29,28-077,TOR_C,,DET,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,29,20:52,1,1,18,6,75
30,12/8/18,30,28-079,TOR_C,@,BOS,L,0,0,0,-3,2,0,0,0,0,0,0,0,5,0,28,17:32,0,0,12,8,60
31,12/11/18,31,28-082,TOR_C,@,CAR,W,1,0,1,1,0,1,0,0,0,0,0,0,1,100,23,15:43,1,0,7,7,50
32,12/13/18,32,28-084,TOR_C,@,TBL,L,0,0,0,0,0,0,0,0,0,0,0,0,6,0,23,19:10,1,0,11,12,47.8
33,12/15/18,33,28-086,TOR_C,@,FLA,L-OT,1,0,1,0,0,1,0,0,0,0,0,0,3,33.3,26,21:03,2,0,9,10,47.4
34,12/18/18,34,28-089,TOR_C,@,NJD,W,1,1,2,1,0,1,0,0,0,1,0,0,2,50,23,17:47,0,0,4,8,33.3
35,12/20/18,35,28-091,TOR_C,,FLA,W,2,0,2,1,0,1,1,0,0,0,0,0,4,50,24,16:40,1,0,9,5,64.3
36,12/22/18,36,28-093,TOR_C,,NYR,W,0,2,2,2,2,0,0,0,0,2,0,0,6,0,23,18:26,2,0,9,7,56.3
37,12/23/18,37,28-094,TOR_C,,DET,W,1,1,2,2,0,1,0,0,0,1,0,0,4,25,23,20:20,0,0,9,7,56.3
38,12/28/18,38,28-099,TOR_C,@,CBJ,W,2,0,2,1,0,1,1,0,0,0,0,0,5,40,24,19:35,1,1,11,10,52.4
